contigIdx	contigIdxMate	AvgCoverage
0	0	52.4692
0	84	2.8717
0	210	3.39371
1	1	38.3182
2	2	36.7777
2	231	0.738769
2	267	1.34744
3	3	42.4341
3	200	0.0594238
4	4	32.0789
4	322	0.578431
5	5	34.4667
5	41	0.54786
5	73	0.0236835
6	6	35.7735
6	33	0.0422833
6	112	0.211568
6	114	0.787526
6	121	0.180912
6	160	0.00921172
6	238	0.0631229
6	248	0.0454545
6	252	0.269103
6	268	0.00845666
6	284	0.0712776
7	7	31.8956
7	201	0.883438
8	8	33.5004
9	6	0.0144177
9	9	42.9769
9	151	0.649356
9	216	0.482783
9	253	0.0979843
9	284	0.0181971
10	10	36.4194
10	302	0.534978
11	11	35.1141
12	12	31.9333
13	13	33.0801
14	14	69.9034
14	99	0.0335369
14	113	0.00533037
14	135	0.0503054
14	196	0.0167685
14	205	0.00755136
14	213	0.00832871
14	239	0.0553026
14	271	0.0102165
14	276	0.00433093
14	282	0.0182121
14	283	0.08995
14	302	0.0151027
14	319	0.00588562
15	15	36.0996
15	229	0.037997
15	299	0.239725
16	16	61.4598
16	37	1.80797
16	70	1.09542
16	85	0.0843087
16	166	0.0295576
16	254	0.156318
17	17	52.9635
17	86	0.0275482
17	89	0.00642792
17	130	0.0554637
17	166	0.0831956
17	181	0.00844812
17	221	0.00697888
17	226	0.0554637
17	246	0.00697888
17	271	0.0554637
17	312	0.0277319
18	18	36.5521
19	19	41.8194
19	63	0.0024617
19	72	0.00462946
20	20	39.7747
20	102	0.315534
20	235	0.560005
21	21	42.1895
21	81	0.645923
22	22	56.4565
22	185	3.18597
23	23	32.8776
24	24	38.0993
24	32	0.309733
25	25	73.115
25	91	1.05028
25	282	0.00707389
26	26	30.0521
26	62	0.162113
26	321	0.445682
27	27	19.6643
27	117	0.0034421
27	144	0.00301773
27	232	0.000872312
27	298	0.00174462
28	28	16.4674
28	126	0.0230515
29	29	36.3513
29	72	0.3657
29	316	0.0174336
30	30	69.436
30	44	0.00158124
30	222	0.00134256
30	282	0.00220777
30	311	0.00164091
30	319	0.00196909
31	31	37.1671
31	278	1.11277
32	24	0.344242
32	32	37.2413
33	33	32.2188
33	112	0.180361
33	186	0.440481
33	238	0.201202
33	248	0.00621242
33	284	0.0903808
34	34	67.4234
35	35	70.2679
35	84	0.000561213
35	141	0.000537829
35	154	0.040571
35	163	0.00105227
35	166	0.00353097
35	181	0.000350758
35	183	0.000455986
35	256	0.00294637
35	271	0.00176548
35	311	0.000572905
35	312	0.000748284
35	313	0.000350758
36	36	71.6437
36	115	0.354488
36	181	0.289279
37	16	1.42767
37	37	54.1055
37	167	0.0397739
37	181	0.0140255
37	254	0.554741
38	38	39.9618
39	39	69.353
39	142	0.00172179
39	185	0.00914952
39	259	0.000700729
39	302	0.00322335
40	40	67.7875
40	199	0.00431843
41	5	0.960822
41	41	32.9768
42	42	19.8834
42	257	0.000645551
42	269	0.0477083
42	286	0.0736969
43	43	76.1813
43	245	0.306562
44	44	72.4969
44	101	0.00504443
44	122	0.118659
44	161	0.104615
44	167	0.0029808
44	191	0.00859845
44	201	0.0244769
44	282	0.00332473
45	45	77.4349
45	166	0.00629534
45	167	0.0573382
45	262	0.000697545
45	271	0.00789969
45	272	0.0012207
46	46	53.7835
46	247	0.0268483
47	16	0.235994
47	47	21.2583
47	70	0.354266
47	173	0.213109
48	48	72.9297
48	195	1.60405
48	271	0.00770218
49	49	63.9536
50	50	45.0355
50	57	0.31495
50	80	0.112209
51	51	17.4297
51	117	0.281979
52	52	33.0633
52	293	1.80108
53	53	18.6123
53	125	0.0253704
53	218	0.803735
54	54	72.7347
55	55	21.9004
55	224	0.00203888
55	258	0.00130066
