contigName	contigLen	totalAvgDepth	NIOZ130_v_NIOZ114.sam_sort.bam	NIOZ130_v_NIOZ114.sam_sort.bam-var	NIOZ130_v_NIOZ118.sam_sort.bam	NIOZ130_v_NIOZ118.sam_sort.bam-var	NIOZ130_v_NIOZ130.sam_sort.bam	NIOZ130_v_NIOZ130.sam_sort.bam-var
NIOZ130_sc148_1	5148	42.938	16.4376	27.1437	17.8441	40.8725	8.65626	9.97409
NIOZ130_sc195_1	6762	66.6101	14.6298	22.8226	27.722	71.149	24.2583	46.7991
NIOZ130_sc240_1	3445	41.6543	18.8807	55.6965	14.2039	33.1829	8.56995	10.4583
NIOZ130_sc247_1	2890	41.5201	16.5847	17.6376	17.8982	20.2266	7.03723	9.22531
NIOZ130_sc342_1	3828	42.1001	16.469	20.2636	18.6979	30.9303	6.93312	9.51149
NIOZ130_sc388_1	8746	40.5022	15.9059	41.7437	16.4573	38.9289	8.13902	9.42962
NIOZ130_sc402_1	2807	21.3929	4.21754	9.83605	10.2548	21.1975	6.92096	16.5743
NIOZ130_sc458_1	3000	32.4874	13.0323	21.3138	12.2733	16.6597	7.18175	12.2702
NIOZ130_sc461_1	3476	34.2646	12.3422	19.8613	14.3767	19.8944	7.5457	10.18
NIOZ130_sc493_1	10604	46.2862	17.4675	37.2785	21.0889	44.5364	7.72986	14.3337
NIOZ130_sc543_1	6936	37.5936	13.7918	23.3152	15.9142	34.2102	7.88756	10.3675
NIOZ130_sc544_1	3287	39.1562	15.5429	33.8739	15.6172	16.4653	7.99617	17.5511
NIOZ130_sc550_1	9000	43.0991	16.4487	53.1646	18.206	30.4601	8.44441	12.4029
NIOZ130_sc603_1	3788	41.9574	15.1839	20.5858	17.569	33.2239	9.20451	10.117
NIOZ130_sc618_1	3328	46.0812	9.41567	14.8032	18.5947	45.2568	18.0708	30.2158
NIOZ130_sc643_1	26299	64.9038	15.061	29.2609	27.1865	50.2845	22.6562	41.8265
NIOZ130_sc655_1	14905	72.7848	17.9369	30.207	28.1946	84.3203	26.6533	54.5748
NIOZ130_sc673_1	3693	34.9856	12.9814	24.0205	15.0079	21.7571	6.99633	9.97989
NIOZ130_sc745_1	5591	66.3062	15.7798	43.6614	26.3056	76.7739	24.2207	75.9514
NIOZ130_sc758_1	4759	40.9592	15.8457	21.3181	17.0965	35.0695	8.01692	11.3607
NIOZ130_sc759_1	4498	74.92	17.6244	568.053	33.0382	768.983	24.2574	124.614
NIOZ130_sc857_1	3092	36.5809	12.7542	20.4813	16.9589	29.7619	6.86778	5.63737
NIOZ130_sc877_1	3007	35.9055	14.9902	13.6497	14.0735	14.6003	6.84179	7.63196
NIOZ130_sc899_1	2564	22.3509	4.93413	16.16	10.8737	16.7777	6.5435	10.3668
NIOZ130_sc915_1	2874	19.4559	4.12408	15.1953	8.44126	33.4612	6.8906	22.5931
NIOZ130_sc921_1	3552	38.0282	10.4921	40.4236	14.1523	41.5006	13.3839	25.6656
NIOZ130_sc1002_1	29888	69.3836	15.8835	22.9522	29.7154	60.4334	23.7848	37.8025
NIOZ130_sc1003_1	2868	18.2851	4.3738	13.3633	8.95843	21.046	4.95291	4.81785
NIOZ130_sc1008_1	9328	53.7141	12.8408	29.8917	21.5782	54.3473	19.2951	34.7348
NIOZ130_sc1019_1	76127	73.8307	16.9075	37.9023	30.9022	80.4407	26.021	58.5395
NIOZ130_sc1039_1	12672	72.5645	16.7319	38.6646	30.2642	68.7771	25.5684	55.5215
NIOZ130_sc1104_1	11948	42.1829	16.4018	35.7123	17.5831	47.0177	8.198	34.0769
NIOZ130_sc1122_1	27521	72.8047	16.3208	31.8446	32.2314	70.446	24.2525	42.3963
NIOZ130_sc1127_1	2756	36.5595	13.8588	16.9259	14.9094	29.0872	7.79125	11.0421
NIOZ130_sc1181_1	3357	71.7933	13.7767	39.2669	30.869	58.7077	27.1475	88.3725
NIOZ130_sc1282_1	11656	35.4824	12.9231	24.9678	14.39	27.8118	8.16939	15.9985
NIOZ130_sc1291_1	4870	37.3447	13.8428	30.1888	15.9	21.138	7.60191	11.5005
NIOZ130_sc1294_1	3991	41.5171	16.6787	19.0591	17.2549	33.808	7.58344	9.4202
NIOZ130_sc1309_1	10542	41.3895	16.5526	43.6887	17.4244	43.2052	7.41253	11.2367
NIOZ130_sc1326_1	5982	34.0981	12.1632	24.1991	14.6469	26.5873	7.28789	10.6145
NIOZ130_sc1352_1	3579	34.3497	12.3675	7.13505	14.8256	33.3255	7.15661	12.24
NIOZ130_sc1422_1	2583	41.3161	9.63132	37.1385	17.9096	78.2737	13.7752	44.7663
NIOZ130_sc1457_1	3870	38.053	5.29624	6.59579	15.4772	36.5251	17.2796	40.178
NIOZ130_sc1507_1	3640	18.867	3.71662	9.82244	7.84355	19.9778	7.30688	18.4928
NIOZ130_sc1512_1	4934	42.9783	14.8595	31.2633	20.237	44.7192	7.88169	24.5119
NIOZ130_sc1533_1	6029	67.3955	14.6583	27.947	27.0044	50.9803	25.7328	43.1408
NIOZ130_sc1642_1	2798	27.1945	10.5774	15.9994	11.9789	19.8522	4.63822	8.24837
NIOZ130_sc1651_1	7477	70.1464	15.8778	36.4176	29.639	118.84	24.6296	53.6172
NIOZ130_sc1674_1	5590	47.2399	19.4004	54.8414	19.3822	69.14	8.45735	15.6858
NIOZ130_sc1713_1	8959	38.37	13.8777	24.4723	16.5417	31.6694	7.95051	13.6398
NIOZ130_sc1730_1	6249	37.3074	13.0167	21.6176	15.2432	33.2022	9.04755	15.1222
NIOZ130_sc1741_1	5055	45.1609	17.6253	27.4168	19.2137	24.2321	8.32192	9.39492
NIOZ130_sc1790_1	5105	34.8991	12.6369	21.8463	15.4819	32.1971	6.78022	11.3727
NIOZ130_sc1809_1	3128	17.8442	3.137	4.04975	8.91437	28.7367	5.79281	7.39248
NIOZ130_sc1816_1	6715	70.0592	17.5787	47.0193	28.166	44.2479	24.3145	48.8387
NIOZ130_sc1837_1	118422	74.7603	17.1662	28.695	31.4181	64.9194	26.176	46.1843
NIOZ130_sc1842_1	13789	38.9252	15.4624	34.7806	15.3852	34.9272	8.07765	11.3512
NIOZ130_sc1843_1	2524	40.6365	13.5282	18.9422	18.6512	29.8193	8.45703	18.3391
NIOZ130_sc1851_1	10004	53.7566	12.0048	30.9041	23.8382	68.7038	17.9136	32.1826
NIOZ130_sc1852_1	4211	44.7084	18.3388	49.2472	18.6205	39.8605	7.74908	15.4089
NIOZ130_sc1926_1	2886	35.2551	12.9938	23.2962	14.8918	43.3666	7.36952	11.602
NIOZ130_sc1981_1	3335	56.336	12.3928	22.5248	25.0446	44.3276	18.8986	45.6578
NIOZ130_sc2042_1	5738	72.6127	15.1358	20.5614	32.5589	77.0691	24.918	30.7062
NIOZ130_sc2046_1	3903	36.0845	14.4042	25.2376	15.1521	23.1264	6.52811	7.00193
NIOZ130_sc2048_1	3161	39.6802	16.9409	36.4413	15.1717	47.0925	7.56759	29.2257
NIOZ130_sc2074_1	11517	53.9184	10.4645	29.4149	22.2171	59.7298	21.2367	77.326
NIOZ130_sc2132_1	2693	57.164	12.0763	14.8164	26.2175	90.0923	18.8702	62.5
NIOZ130_sc2156_1	3585	18.0125	4.65357	17.4471	7.32635	16.1571	6.03261	9.07466
NIOZ130_sc2201_1	4307	36.2028	13.2403	26.1659	16.9459	33.3514	6.0166	8.40263
NIOZ130_sc2242_1	27150	71.4561	15.9171	28.7259	30.999	77.2613	24.54	43.972
NIOZ130_sc2282_1	49555	77.9231	17.6184	33.6163	33.5366	73.7749	26.7681	46.4955
NIOZ130_sc2313_1	7469	95.1593	22.0954	231.876	40.3965	520.322	32.6674	285.416
NIOZ130_sc2377_1	4996	44.3789	18.4515	90.0311	18.005	202.669	7.92241	16.4978
NIOZ130_sc2393_1	4725	44.8903	15.6472	38.7575	19.9056	45.7411	9.33749	17.4319
NIOZ130_sc2418_1	4664	47.0939	18.2444	236.028	17.9874	340.024	10.8622	86.4753
NIOZ130_sc2420_1	3293	67.0764	13.447	31.7521	28.4693	85.0884	25.16	79.5487
NIOZ130_sc2427_1	2687	36.3965	12.4131	14.8331	14.7935	24.9667	9.18999	16.8993
NIOZ130_sc2435_1	3373	45.0804	16.4756	39.3898	18.5498	46.5229	10.0552	17.4259
NIOZ130_sc2446_1	17736	65.9969	14.7692	30.2083	28.499	64.3549	22.7286	54.1248
NIOZ130_sc2484_1	3083	34.253	13.5656	41.377	13.2247	18.847	7.46267	24.7837
NIOZ130_sc2523_1	2620	43.3688	17.8733	25.6409	17.6194	47.4851	7.87611	9.27429
NIOZ130_sc2527_1	5648	51.3749	20.9314	41.1905	21.2832	36.7666	9.16024	16.4655
